ID,Name,Sigma2
0,4bEjOyTaDG24SY5TxsaUNQ,Mon Ami Gabi,0.170016991099
1,sIyHTizqAiGu12XMLX3N3g,Bacchanal Buffet,0.207800046584
2,zt1TpTuJ6y9n551sw9TaEg,Wicked Spoon,0.112838507237
3,aGbjLWzcrnEx2ZmMCFm3EA,Gordon Ramsay BurGR,0.0732826611207
4,2e2e7WgqU1BnpxmQL5jbfw,Earl of Sandwich,0.223615220717
5,iUPJmJvHy9fVfRxsuwwdLQ,Gangnam Asian BBQ Dining,0.278450283426
6,Xhg93cMdemu5pAMkDoEdtQ,Serendipity 3,0.11029521888
7,QbmcCE_cLq4WO8ZMKImaLw,Hash House A Go Go,0.166402239552
8,YNQgak-ZLtYJQxlDwN-qIg,The Buffet,0.239645939635
9,lliksv-tglfUz1T3B3vgvA,Lotus of Siam,0.453696323059
10,AtjsjFzalWqJ7S9DUFQ4bw,The Cosmopolitan of Las Vegas,0.264689428314
11,CZjcFdvJhksq9dy58NVEzw,The Buffet at Bellagio,0.249709945459
12,JpHE7yhMS5ehA9e8WG_ETg,ARIA Hotel & Casino,0.186332281321
13,tFU2Js_nbIZOrnKfYJYBBg,Bouchon at The Venetian,0.369991232813
14,eq6lQI039SBLC6sHm3idGA,Secret Pizza,0.201732250546
15,xfwRO04KbAPw_zRotCfWQQ,Hash House A Go Go,0.361118258971
16,6LM_Klmp3hOP0JmsMCKRqQ,Luxor Hotel And Casino Las Vegas,0.16183684099
17,Es300Ys1XXPYg8aI7BKVYQ,XS Nightclub,0.3757133197
18,eWPFXL1Bmu1ImtIa2Rqliw,MGM Grand Hotel,0.224960910419
19,PXviRcHR1mqdH4vRc2LEAQ,Bachi Burger,0.251536106865
20,DO3Gk17RyJVW7zYMCtYPnw,Mesa Grill,0.363560889056
21,jf67Z1pnwElRSXllpQHiJg,McCarran International Airport,0.179771701405
22,34uJtlPnKicSaX1V8_tu1A,The Venetian Las Vegas,
23,mDdqifuTrfXAOfxiLMGu5Q,Gordon Ramsay Steak,0.3201711795
24,NGJDjdiDJHmN2xxU7KauuA,Flamingo Las Vegas Hotel & Casino,0.229715789316
25,BqrTtox0JbG-P_DKBB5bBw,Holsteins Shakes and Buns,0.185835260051
26,uJYw4p59AKh8c8h5yWMdOw,Planet Hollywood Las Vegas Resort & Casino,0.268455475183
27,xyTJYlbE_MLouK6rCou6zg,Burger Bar,0.345310306628
28,-7yF42k0CcJhtPw51oaOqQ,Bellagio Hotel,0.572961955663
29,FV16IeXJp2W6pnghTz2FAw,Pho Kim Long,0.297579989354
30,1yx2zLskVTe5WQdYjL2Apw,Egg & I,0.526579015182
31,jOuERtVf7QePnK9ZcdH5XA,Grand Lux Cafe,0.297718467627
32,r1YB-iVpNM8oP2eEqyaVbg,El Dorado Cantina,0.375626272705
33,SsTxjxo8qvqBMvan1rzNzg,The Peppermill Restaurant & Fireside Lounge,0.393557936671
34,TWD8c5-P7w9v-2KX_GSNZQ,Mandalay Bay Resort & Casino,0.403741807052
35,G0nUhYF2q4tnoOPwCjXLig,Excalibur Hotel,0.238811681235
36,PqTX5j9yfsPbd1qQCA1EwA,Tao Nightclub,0.299855440914
37,Ht8mXLuqJSTPrU9kvzosUA,Marquee,0.246301925681
38,u9wjRhUjySkHPa_hG3kFOg,Wynn Las Vegas,
39,z3SyT8blMIhsZNvKJgKcRA,Caesars Palace Las Vegas Hotel & Casino,0.398972968396
40,05fTEsjUPVo5jks8PpNKCQ,Rollin Smoke Barbeque,0.436785083164
41,5paMI5Hhciyl09yGpzdoJw,The Palazzo Las Vegas,
42,hW0Ne_HTHEAgGF1rAdmR-g,Phoenix Sky Harbor International Airport - PHX,0.24029290968
43,A3Jv-FFRsDEWXxKJ6ZIxfg,Gordon Ramsay Pub & Grill,0.212374352947
44,WIlklz81DcJkUWJThbnJbQ,Vdara Hotel,0.369690560749
45,ripCiWZ0MblMZSLrIKQAKA,Monte Carlo Hotel And Casino,0.231892537593
46,DjOxXobyGDwWt89q4z1twg,Monta Ramen,0.345382865932
47,ateowLnq6kpgNNWHzCDByQ,Guy Fieri's Vegas Kitchen & Bar,0.192490957419
48,HbUQ_3dlm3uCacmhTEMnuA,Tom Colicchio's Craftsteak,0.748750709468
49,_v6HIliEOn0l0YaAmBOrxw,Treasure Island,0.306922048791
50,s5-VDvUqyYnD8RG3LPqnbQ,Giada,0.157219569813
51,JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,0.525571023635
52,QhwkFogGQA-Ar176Ul5PUQ,Shake Shack,0.142987101138
53,VVeogjZya58oiTxK7qUjAQ,Pizzeria Bianco,0.693143606715
54,NsnZ5GhagXBKrCOelxVQxw,SUSHISAMBA - Las Vegas,0.473953678849
55,tqu42L0qXzkvYKSruOz0IA,Ellis Island Casino & Brewery,
56,rBPQuQgTcMtUq5-RYhY2uQ,Le Village Buffet,0.322146140436
57,vxxMqBaAHuWdx4impsLSSA,Studio B Show Kitchen Buffet,0.433737195253
58,kEC7OlpPnZRxCUyVwq7hig,Hard Rock Hotel & Casino,0.432477569158
59,bYhpy9u8fKkGhYHtvYXazQ,Paris Las Vegas Hotel & Casino,0.311687628717
60,HyfFenprdpIA4rmKu6DW3g,Oyster Bar,0.848640106271
61,DUdBbrvqfaqUe9GYKmYNtA,The Mirage,0.404983135815
62,rZbHg4ACfN3iShdsT47WKQ,Bobby Q,
63,IRYj1b1-mlXqABVsl9SoqQ,Tacos El Gordo,0.536351040805
64,WT-v-DgQvW38DewVyTLdTA,Circus Circus Las Vegas Hotel and Casino,0.328724525695
65,3f-RP2-EE94eifGnepUBpg,Cirque du Soleil - The Beatles LOVE,
66,LLDGTT7FExklkQvHebEjRg,Joe's Seafood Prime Steak & Stone Crab,
67,aRkYtXfmEKYG-eTDf_qUsw,Lux Central,0.808540995244
68,ZP6qFq7LUh6Tr7WHPoOW6g,eat.,0.375654339563
69,eLPld7Q17XxlclFGzZQX5g,Yama Sushi,
70,8IMEf_cj8KyTQojhNOyoPg,Rio All Suites Hotel & Casino,0.376326590122
71,zTCCbg7mGslxACL5KlAPIQ,The Buffet at ARIA,0.269999919602
72,mPDE4dMqAyLZNCR-tEYQ5w,KA by Cirque Du Soleil,
73,AeKTQBtPRDHLAFL9bzbUnA,Sushi House Goyemon,0.625655787311
74,V1nEpIRmEa1768oj_tuxeQ,Cibo,0.798491006364
75,SLyacGZuMUKqrQJEooSkjw,Spice Market Buffet,0.324739908098
76,KjymOs12Mpy0Kd54b7T9MA,Olives,0.510439166735
77,HMr_KN63f6MzM9h8Wije3Q,New York New York Hotel Casino,0.337093894959
78,SHfUGBOznEtDhK6WbVrvIw,Schwartz's,0.600774432795
79,QnAzW6KMSciUcuJ20oI3Bw,Joe's Farm Grill,
80,MN0OLvP8i0SirMJ7AMuMzA,Pizza Rock,0.359867421812
81,eRRyfI6QVvSviirRF8UGzQ,Encore,
82,6i8vY-6gCQd5v6lZ8yne5Q,SLS Las Vegas Hotel & Casino,0.124630060316
83,WNy1uzcmm_UHmTyR--o5IA,Cornish Pasty Company,0.78421893604
84,YrIfgzLj0DPStJ1ESAS_Qg,Hot N Juicy Crawfish,0.644667364481
85,OUpcKYGbVYgSS1Oo7aQ56Q,Golden Nugget Hotel & Casino,0.484339260589
86,ngNvH4sxnH9aMukTZ67R_Q,Carnival World Buffet,0.476288978616
87,MuIXnv7Oq7X3-4aEsp9dDA,Citizen Public House,0.58370651116
88,BqD7X5CHXnJ14YbBBlLx1w,Julian Serrano,0.439074622225
89,8buIr1zBCO7OEcAQSZko7w,Firefly,0.568680854381
90,eP9T-2a94ChFAl1Rd2R0jg,Trump Hotel,0.761804401401
91,YKOvlBNkF4KpUP9q7x862w,The Mission,0.594150191972
92,3Q0QQPnHcJuX1DLCL9G9Cg,Charlotte Douglas International Airport,0.306282716738
93,5GKbGn9-fAgQ0njSh3OJ8A,LAVO Italian Restaurant & Lounge,0.557328553706
94,v7OwbHgNgy_VQ9eP5FjvUA,Rehab Burger Therapy,0.448329741749
95,sAOpm86A4ukUhY5men3Xbg,Gen Korean BBQ House,0.38313806778
96,OoeTGTkxvSZqqicZ8ljJjw,Hakkasan Nightclub,0.214577339824
97,4UVhuOLaMm2-34SrW8y-ag,Ichiza,0.723686190688
98,ynK2ljcx5S1qSxouBrN5Xg,Stratosphere,0.392129604101
99,YacTpiq0ZptFcXD7I-kdGA,Delmonico Steakhouse,0.817615548303
